name,rank,true_skill,mu,sigma,practices,games
Peli,1,-5.150015,5.728835,3.626283,4,13
Matus,2,-8.185129,3.768779,3.984636,2,8
VitVokroj,3,-8.873462,2.422418,3.765293,2,11
Karlos,4,-9.822851,4.471332,4.764728,3,6
Jazz,5,-9.963346,1.020841,3.661396,4,13
Strudl,6,-10.188869,0.759219,3.649363,4,13
LukyKlimes,7,-10.385168,1.568740,3.984636,2,8
Cross,8,-11.219005,0.109930,3.776312,4,13
FilaH,9,-11.641633,-0.224374,3.805753,4,13
Freny,10,-11.666591,-0.743786,3.640935,4,13
,,,,,,-- only add top 10 to the public repo --
